timestamp,title,price,original_price,shipping,item_url,discount_percentage
2025-11-02 15:07:44,Apple AirPods Pro (2nd Generation) with MagSafe Wireless Charging Case (USB-C),144.75,144.75,eBay International Shipping,https://www.ebay.com/itm/266012284550?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014474,0.0
2025-11-02 15:07:44,Apple AirPods with USB-C Charging Case 4th Generation White MXP63LLA,94.99,149.99,eBay International Shipping,https://www.ebay.com/itm/365506999272?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014474,36.67
2025-11-02 15:07:44,Anker 3-in-1 MagSafe Charger Stand Foldable Cube 15W Qi2 for Apple Watch/iPhone,67.5,129.99,eBay International Shipping,https://www.ebay.com/itm/388451705146?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014474,48.07
2025-11-02 15:07:44,,,,Shipping info unavailable,,0.0
2025-11-02 15:07:44,REDTIGER F7NP 4K Dual Dash Camera Front and Rear Dash Cam WiFi with Hardwire Kit,75.99,135.99,eBay International Shipping,https://www.ebay.com/itm/285750006733?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014450,44.12
2025-11-02 15:07:44,WOLFBOX G840S 12”Mirror Dash Cam 4K Rear View Mirror Dash Camera Front and Rear,64.99,114.99,eBay International Shipping,https://www.ebay.com/itm/225914453447?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014450,43.48
2025-11-02 15:07:44,REDTIGER 4K Dual Dash Camera Front and Rear Dash Cam WIFI&GPS With 32GB SD Card,64.49,64.49,+ US $27.65 shipping,https://www.ebay.com/itm/285048811662?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014450,0.0
2025-11-02 15:07:44,REDTIGER 4K Dash Cam Front and Rear Dual Dash Camera WIFI&GPS With 32GB SD Card,64.49,129.49,eBay International Shipping,https://www.ebay.com/itm/285048811560?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014450,50.2
2025-11-02 15:07:44,,,,Shipping info unavailable,,0.0
2025-11-02 15:07:44,Netac M.2 2280 500GB 1TB NVMe PCIe4.0 Gen 4x4 Internal SSD with HeatSink for PC,69.0,69.0,+ shipping,https://www.ebay.com/itm/314521249683?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014456,0.0
2025-11-02 15:07:44,"Seagate EXOS X16 16TB 256MB 7200rpm 3.5"" SATA 6Gb/s Enterprise HDD ST16000NM001G",249.99,249.99,Shipping info unavailable,https://www.ebay.com/itm/175804626117?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014456,0.0
2025-11-02 15:07:44,"Seagate Exos 28TB 7.2K RPM SATA 6Gb/s 3.5"" Enterprise HDD - ST28000NM000C",398.99,499.99,eBay International Shipping,https://www.ebay.com/itm/296879436001?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014456,20.2
